/home/nbes/LCA/Visuals.py:32: MatplotlibDeprecationWarning: Adding an axes using the same arguments as a previous axes currently reuses the earlier instance.  In a future version, a new instance will always be created and returned.  Meanwhile, this warning can be suppressed, and the future behavior ensured, by passing a unique label to each axes instance.
  fig.add_axes(ax)
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=739435, Wed Sep 18 09:58:44 2024)
G:182, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:183, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:184, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:185, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:186, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:187, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:188, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:189, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:190, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:191, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:192, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:193, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:194, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:195, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:196, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:197, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:198, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:199, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:200, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:201, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:202, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:203, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:204, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:205, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:206, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:207, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:208, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:209, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:210, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:211, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:212, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:213, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:214, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:215, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:216, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:217, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:218, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:219, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:220, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:221, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:222, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:223, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:224, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:225, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:226, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:227, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:228, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:229, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:230, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:231, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:232, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:233, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:234, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:235, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:236, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:237, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:238, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:239, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:240, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:241, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:242, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:243, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:244, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:245, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:246, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:247, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:248, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:249, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:250, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:251, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:252, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:253, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
